Nombre|(º-º)|Plataforma|(º-º)|Año|(º-º)|Genero|(º-º)|Editorial|(º-º)|Ventas NA|(º-º)|Ventas EU|(º-º)|Ventas JP|(º-º)|Ventas Otros|(º-º)|Ventas Global
Midnight Club: Los Angeles|(º-º)|PS3|(º-º)|2008|(º-º)|Racing|(º-º)|Take-Two Interactive|(º-º)|1,55|(º-º)|0,54|(º-º)|0,05|(º-º)|0,31|(º-º)|2,45
Twisted Metal 2|(º-º)|PS|(º-º)|1996|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|2,12|(º-º)|0,25|(º-º)|0|(º-º)|0,07|(º-º)|2,44
Need for Speed Carbon: Own the City|(º-º)|PSP|(º-º)|2006|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|0,87|(º-º)|0,98|(º-º)|0|(º-º)|0,59|(º-º)|2,44
Halo: Combat Evolved Anniversary|(º-º)|X360|(º-º)|2011|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|1,44|(º-º)|0,73|(º-º)|0,04|(º-º)|0,22|(º-º)|2,44
Riven: The Sequel to Myst|(º-º)|PC|(º-º)|1997|(º-º)|Adventure|(º-º)|Red Orb|(º-º)|1,52|(º-º)|0,82|(º-º)|0|(º-º)|0,1|(º-º)|2,43
The Sims: Bustin' Out|(º-º)|PS2|(º-º)|2003|(º-º)|Simulation|(º-º)|Electronic Arts|(º-º)|1,07|(º-º)|1,19|(º-º)|0|(º-º)|0,18|(º-º)|2,43
Ice Hockey|(º-º)|NES|(º-º)|1988|(º-º)|Sports|(º-º)|Nintendo|(º-º)|1,27|(º-º)|0,32|(º-º)|0,78|(º-º)|0,05|(º-º)|2,42
Sonic Adventure|(º-º)|DC|(º-º)|1998|(º-º)|Platform|(º-º)|Sega|(º-º)|1,26|(º-º)|0,61|(º-º)|0,46|(º-º)|0,08|(º-º)|2,42
Tom Clancy's Rainbow Six: Vegas 2|(º-º)|X360|(º-º)|2008|(º-º)|Shooter|(º-º)|Ubisoft|(º-º)|1,56|(º-º)|0,61|(º-º)|0,02|(º-º)|0,23|(º-º)|2,42
pro evolution soccer 2011|(º-º)|PS3|(º-º)|2010|(º-º)|Sports|(º-º)|Konami Digital Entertainment|(º-º)|0,29|(º-º)|1,18|(º-º)|0,54|(º-º)|0,41|(º-º)|2,42
Dino Crisis|(º-º)|PS|(º-º)|1998|(º-º)|Action|(º-º)|Capcom|(º-º)|0,81|(º-º)|0,76|(º-º)|0,7|(º-º)|0,14|(º-º)|2,41
ATV Offroad Fury|(º-º)|PS2|(º-º)|2001|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|2,07|(º-º)|0,26|(º-º)|0|(º-º)|0,08|(º-º)|2,41
Dragon Ball Z: Budokai 2|(º-º)|PS2|(º-º)|2003|(º-º)|Fighting|(º-º)|Atari|(º-º)|1,63|(º-º)|0,22|(º-º)|0,51|(º-º)|0,06|(º-º)|2,41
Need for Speed: ProStreet|(º-º)|PS2|(º-º)|2007|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|0,69|(º-º)|0|(º-º)|0,04|(º-º)|1,68|(º-º)|2,41
Minecraft|(º-º)|XOne|(º-º)|2014|(º-º)|Misc|(º-º)|Microsoft Game Studios|(º-º)|1,43|(º-º)|0,76|(º-º)|0|(º-º)|0,22|(º-º)|2,41
Pro Wrestling|(º-º)|NES|(º-º)|1987|(º-º)|Fighting|(º-º)|Nintendo|(º-º)|0,77|(º-º)|0,18|(º-º)|1,42|(º-º)|0,03|(º-º)|2,4
Tetris Plus|(º-º)|PS|(º-º)|1996|(º-º)|Puzzle|(º-º)|JVC|(º-º)|2,1|(º-º)|0,24|(º-º)|0|(º-º)|0,07|(º-º)|2,4
Theme Hospital|(º-º)|PC|(º-º)|1997|(º-º)|Strategy|(º-º)|Electronic Arts|(º-º)|2,3|(º-º)|0,1|(º-º)|0|(º-º)|0|(º-º)|2,4
Madden NFL 16|(º-º)|XOne|(º-º)|2015|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|2,07|(º-º)|0,08|(º-º)|0|(º-º)|0,26|(º-º)|2,4
Monopoly|(º-º)|PC|(º-º)|1994|(º-º)|Misc|(º-º)|Hasbro Interactive|(º-º)|1,49|(º-º)|0,81|(º-º)|0|(º-º)|0,1|(º-º)|2,39
Zumba Fitness|(º-º)|X360|(º-º)|2010|(º-º)|Sports|(º-º)|505 Games|(º-º)|1,74|(º-º)|0,48|(º-º)|0|(º-º)|0,18|(º-º)|2,39
Dead Island|(º-º)|X360|(º-º)|2011|(º-º)|Action|(º-º)|Deep Silver|(º-º)|1,48|(º-º)|0,71|(º-º)|0|(º-º)|0,2|(º-º)|2,39
Batman: Arkham Origins|(º-º)|PS3|(º-º)|2013|(º-º)|Action|(º-º)|Warner Bros. Interactive Entertainment|(º-º)|1,07|(º-º)|0,87|(º-º)|0,04|(º-º)|0,4|(º-º)|2,39
Need for Speed (2015)|(º-º)|PS4|(º-º)|2015|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|0,49|(º-º)|1,49|(º-º)|0,05|(º-º)|0,36|(º-º)|2,39
WCW/nWo Revenge|(º-º)|N64|(º-º)|1998|(º-º)|Fighting|(º-º)|THQ|(º-º)|1,94|(º-º)|0,39|(º-º)|0,03|(º-º)|0,02|(º-º)|2,38
Yu-Gi-Oh! The Duelists of the Roses|(º-º)|PS2|(º-º)|2001|(º-º)|Misc|(º-º)|Konami Digital Entertainment|(º-º)|1,16|(º-º)|0,91|(º-º)|0|(º-º)|0,3|(º-º)|2,38
Guitar Hero|(º-º)|PS2|(º-º)|2005|(º-º)|Misc|(º-º)|RedOctane|(º-º)|1,67|(º-º)|0,61|(º-º)|0,03|(º-º)|0,07|(º-º)|2,38
LEGO Star Wars: The Complete Saga|(º-º)|PS3|(º-º)|2007|(º-º)|Action|(º-º)|LucasArts|(º-º)|1,02|(º-º)|0,97|(º-º)|0|(º-º)|0,39|(º-º)|2,38
Madden NFL 11|(º-º)|PS3|(º-º)|2010|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|2,04|(º-º)|0,15|(º-º)|0|(º-º)|0,19|(º-º)|2,38
Kinect: Disneyland Adventures|(º-º)|X360|(º-º)|2011|(º-º)|Misc|(º-º)|Microsoft Game Studios|(º-º)|1,73|(º-º)|0,46|(º-º)|0,02|(º-º)|0,18|(º-º)|2,38
NBA 2K15|(º-º)|PS4|(º-º)|2014|(º-º)|Sports|(º-º)|Take-Two Interactive|(º-º)|1,46|(º-º)|0,54|(º-º)|0,01|(º-º)|0,37|(º-º)|2,38
Bloodborne|(º-º)|PS4|(º-º)|2015|(º-º)|Action|(º-º)|Sony Computer Entertainment|(º-º)|1|(º-º)|0,76|(º-º)|0,26|(º-º)|0,36|(º-º)|2,38
Half-Life 2|(º-º)|PC|(º-º)|2004|(º-º)|Shooter|(º-º)|Vivendi Games|(º-º)|2,28|(º-º)|0,02|(º-º)|0,08|(º-º)|0|(º-º)|2,37
The Incredibles|(º-º)|PS2|(º-º)|2004|(º-º)|Action|(º-º)|THQ|(º-º)|0,96|(º-º)|1,08|(º-º)|0,04|(º-º)|0,3|(º-º)|2,37
Tony Hawk's Underground 2|(º-º)|PS2|(º-º)|2004|(º-º)|Sports|(º-º)|Activision|(º-º)|1,25|(º-º)|0,86|(º-º)|0,01|(º-º)|0,26|(º-º)|2,37
Madden NFL 08|(º-º)|X360|(º-º)|2007|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|2,18|(º-º)|0,01|(º-º)|0|(º-º)|0,18|(º-º)|2,37
Madden NFL 10|(º-º)|PS3|(º-º)|2009|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|2,03|(º-º)|0,13|(º-º)|0|(º-º)|0,21|(º-º)|2,37
Kirby's Dream Land 2|(º-º)|GB|(º-º)|1995|(º-º)|Platform|(º-º)|Nintendo|(º-º)|0,69|(º-º)|0,14|(º-º)|1,48|(º-º)|0,05|(º-º)|2,36
Kinect Sports: Season Two|(º-º)|X360|(º-º)|2011|(º-º)|Sports|(º-º)|Microsoft Game Studios|(º-º)|1,38|(º-º)|0,74|(º-º)|0,02|(º-º)|0,22|(º-º)|2,36
Donkey Kong Land II|(º-º)|GB|(º-º)|1996|(º-º)|Platform|(º-º)|Nintendo|(º-º)|1,39|(º-º)|0,48|(º-º)|0,4|(º-º)|0,08|(º-º)|2,35
Dragon Warrior Monsters|(º-º)|GB|(º-º)|1998|(º-º)|Role-Playing|(º-º)|Eidos Interactive|(º-º)|0|(º-º)|0|(º-º)|2,34|(º-º)|0,01|(º-º)|2,35
Midnight Club: Los Angeles|(º-º)|X360|(º-º)|2008|(º-º)|Racing|(º-º)|Take-Two Interactive|(º-º)|1,68|(º-º)|0,46|(º-º)|0,01|(º-º)|0,2|(º-º)|2,35
LEGO Harry Potter: Years 1-4|(º-º)|DS|(º-º)|2010|(º-º)|Action|(º-º)|Warner Bros. Interactive Entertainment|(º-º)|1,07|(º-º)|1,05|(º-º)|0|(º-º)|0,23|(º-º)|2,35
Resident Evil - Code: Veronica X|(º-º)|PS2|(º-º)|2001|(º-º)|Action|(º-º)|Capcom|(º-º)|1,08|(º-º)|0,7|(º-º)|0,34|(º-º)|0,21|(º-º)|2,34
WWE SmackDown vs Raw 2008|(º-º)|PS2|(º-º)|2007|(º-º)|Fighting|(º-º)|THQ|(º-º)|0,92|(º-º)|0|(º-º)|0,01|(º-º)|1,41|(º-º)|2,34
My Fitness Coach|(º-º)|Wii|(º-º)|2008|(º-º)|Sports|(º-º)|Ubisoft|(º-º)|1,2|(º-º)|0,9|(º-º)|0|(º-º)|0,24|(º-º)|2,34
Skylanders SWAP Force|(º-º)|Wii|(º-º)|2013|(º-º)|Platform|(º-º)|Activision|(º-º)|1,32|(º-º)|0,83|(º-º)|0|(º-º)|0,2|(º-º)|2,34
The Sims 3|(º-º)|X360|(º-º)|2010|(º-º)|Simulation|(º-º)|Electronic Arts|(º-º)|1,27|(º-º)|0,86|(º-º)|0|(º-º)|0,2|(º-º)|2,33
Grand Theft Auto|(º-º)|PS|(º-º)|1997|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|0,79|(º-º)|1,35|(º-º)|0,04|(º-º)|0,14|(º-º)|2,32
Mario Tennis|(º-º)|N64|(º-º)|2000|(º-º)|Sports|(º-º)|Nintendo|(º-º)|0,78|(º-º)|0,4|(º-º)|1,06|(º-º)|0,07|(º-º)|2,32
Just Dance Kids|(º-º)|Wii|(º-º)|2010|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|1,57|(º-º)|0,56|(º-º)|0|(º-º)|0,19|(º-º)|2,32
The Legend of Zelda: Majora's Mask 3D|(º-º)|3DS|(º-º)|2015|(º-º)|Action|(º-º)|Nintendo|(º-º)|1,14|(º-º)|0,54|(º-º)|0,47|(º-º)|0,17|(º-º)|2,32
NBA 2K16|(º-º)|XOne|(º-º)|2015|(º-º)|Sports|(º-º)|Take-Two Interactive|(º-º)|1,93|(º-º)|0,14|(º-º)|0|(º-º)|0,24|(º-º)|2,32
Chrono Trigger|(º-º)|SNES|(º-º)|1995|(º-º)|Role-Playing|(º-º)|SquareSoft|(º-º)|0,28|(º-º)|0|(º-º)|2,02|(º-º)|0,01|(º-º)|2,31
Cool Boarders 3|(º-º)|PS|(º-º)|1998|(º-º)|Sports|(º-º)|989 Studios|(º-º)|1,65|(º-º)|0,46|(º-º)|0,1|(º-º)|0,1|(º-º)|2,31
Need For Speed: High Stakes|(º-º)|PS|(º-º)|1999|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|1,58|(º-º)|0,64|(º-º)|0|(º-º)|0,09|(º-º)|2,31
James Bond 007: Everything or Nothing|(º-º)|PS2|(º-º)|2004|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|0,85|(º-º)|1,06|(º-º)|0,09|(º-º)|0,32|(º-º)|2,31
WarioWare Touched!|(º-º)|DS|(º-º)|2004|(º-º)|Puzzle|(º-º)|Nintendo|(º-º)|0,52|(º-º)|0,45|(º-º)|1,21|(º-º)|0,13|(º-º)|2,31
Pokemon Ranger: Shadows of Almia|(º-º)|DS|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|0,95|(º-º)|0,54|(º-º)|0,62|(º-º)|0,18|(º-º)|2,3
Guild Wars 2|(º-º)|PC|(º-º)|2012|(º-º)|Action|(º-º)|NCSoft|(º-º)|0,95|(º-º)|1,06|(º-º)|0|(º-º)|0,29|(º-º)|2,3
LEGO Marvel Super Heroes|(º-º)|X360|(º-º)|2013|(º-º)|Action|(º-º)|Warner Bros. Interactive Entertainment|(º-º)|1,24|(º-º)|0,85|(º-º)|0|(º-º)|0,21|(º-º)|2,3
Tomb Raider II|(º-º)|PC|(º-º)|1997|(º-º)|Action|(º-º)|Eidos Interactive|(º-º)|0,91|(º-º)|1,25|(º-º)|0|(º-º)|0,13|(º-º)|2,29
Dead Island|(º-º)|PS3|(º-º)|2011|(º-º)|Action|(º-º)|Deep Silver|(º-º)|1,08|(º-º)|0,75|(º-º)|0,15|(º-º)|0,31|(º-º)|2,29
God of War: Ascension|(º-º)|PS3|(º-º)|2013|(º-º)|Action|(º-º)|Sony Computer Entertainment|(º-º)|1,23|(º-º)|0,68|(º-º)|0,04|(º-º)|0,34|(º-º)|2,29
Mario Bros.|(º-º)|NES|(º-º)|1983|(º-º)|Platform|(º-º)|Nintendo|(º-º)|0,51|(º-º)|0,12|(º-º)|1,63|(º-º)|0,02|(º-º)|2,28
TOCA Touring Car Championship|(º-º)|PS|(º-º)|1997|(º-º)|Racing|(º-º)|Codemasters|(º-º)|0,07|(º-º)|2|(º-º)|0,02|(º-º)|0,18|(º-º)|2,28
Need for Speed Underground 2|(º-º)|XB|(º-º)|2004|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|1,38|(º-º)|0,8|(º-º)|0|(º-º)|0,1|(º-º)|2,28
FIFA Soccer 09|(º-º)|PS2|(º-º)|2008|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,38|(º-º)|0,07|(º-º)|0,01|(º-º)|1,82|(º-º)|2,28
Star Wars: The Force Unleashed|(º-º)|PS3|(º-º)|2008|(º-º)|Action|(º-º)|LucasArts|(º-º)|1,01|(º-º)|0,9|(º-º)|0|(º-º)|0,37|(º-º)|2,28
Pro Evolution Soccer 2010|(º-º)|PS3|(º-º)|2009|(º-º)|Sports|(º-º)|Konami Digital Entertainment|(º-º)|0,3|(º-º)|1,27|(º-º)|0,46|(º-º)|0,26|(º-º)|2,28
Borderlands 2|(º-º)|PS3|(º-º)|2012|(º-º)|Shooter|(º-º)|Take-Two Interactive|(º-º)|1,05|(º-º)|0,77|(º-º)|0,1|(º-º)|0,36|(º-º)|2,28
Just Dance 2015|(º-º)|Wii|(º-º)|2014|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|1,11|(º-º)|0,98|(º-º)|0|(º-º)|0,2|(º-º)|2,28
Yokai Watch Busters|(º-º)|3DS|(º-º)|2015|(º-º)|Action|(º-º)|Level 5|(º-º)|0|(º-º)|0|(º-º)|2,28|(º-º)|0|(º-º)|2,28
Kirby: Nightmare in Dream Land|(º-º)|GBA|(º-º)|2002|(º-º)|Platform|(º-º)|Nintendo|(º-º)|1,22|(º-º)|0,1|(º-º)|0,91|(º-º)|0,04|(º-º)|2,27
Super Monkey Ball: Banana Blitz|(º-º)|Wii|(º-º)|2006|(º-º)|Misc|(º-º)|Sega|(º-º)|1,07|(º-º)|0,92|(º-º)|0,04|(º-º)|0,24|(º-º)|2,27
Sonic's Ultimate Genesis Collection|(º-º)|PS3|(º-º)|2009|(º-º)|Misc|(º-º)|Sega|(º-º)|1,34|(º-º)|0,62|(º-º)|0|(º-º)|0,31|(º-º)|2,27
Paper Mario: Sticker Star|(º-º)|3DS|(º-º)|2012|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|1,12|(º-º)|0,39|(º-º)|0,64|(º-º)|0,12|(º-º)|2,27
Wario Land 4|(º-º)|GBA|(º-º)|2001|(º-º)|Platform|(º-º)|Nintendo|(º-º)|0,9|(º-º)|0,73|(º-º)|0,54|(º-º)|0,09|(º-º)|2,26
Guitar Hero III: Legends of Rock|(º-º)|PS3|(º-º)|2007|(º-º)|Misc|(º-º)|Activision|(º-º)|1,4|(º-º)|0,54|(º-º)|0,02|(º-º)|0,3|(º-º)|2,26
Resident Evil 4|(º-º)|Wii|(º-º)|2007|(º-º)|Action|(º-º)|Capcom|(º-º)|1,34|(º-º)|0,57|(º-º)|0,14|(º-º)|0,21|(º-º)|2,26
Cool Boarders 2|(º-º)|PS|(º-º)|1997|(º-º)|Sports|(º-º)|UEP Systems|(º-º)|1,52|(º-º)|0,46|(º-º)|0,2|(º-º)|0,08|(º-º)|2,25
Onimusha 2: Samurai's Destiny|(º-º)|PS2|(º-º)|2002|(º-º)|Adventure|(º-º)|Capcom|(º-º)|0,62|(º-º)|0,44|(º-º)|1,06|(º-º)|0,13|(º-º)|2,25
Paper Mario: The Thousand-Year Door|(º-º)|GC|(º-º)|2004|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|1,48|(º-º)|0,25|(º-º)|0,46|(º-º)|0,06|(º-º)|2,25
Dissidia: Final Fantasy|(º-º)|PSP|(º-º)|2008|(º-º)|Fighting|(º-º)|Square Enix|(º-º)|0,51|(º-º)|0,51|(º-º)|0,91|(º-º)|0,32|(º-º)|2,25
Monster Hunter Tri|(º-º)|Wii|(º-º)|2009|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|0,67|(º-º)|0,41|(º-º)|1,05|(º-º)|0,11|(º-º)|2,25
Madden NFL 12|(º-º)|PS3|(º-º)|2011|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|1,93|(º-º)|0,15|(º-º)|0|(º-º)|0,17|(º-º)|2,25
Minecraft|(º-º)|PSV|(º-º)|2014|(º-º)|Misc|(º-º)|Sony Computer Entertainment Europe|(º-º)|0,28|(º-º)|0,79|(º-º)|0,87|(º-º)|0,32|(º-º)|2,25
Sonic Advance|(º-º)|GBA|(º-º)|2001|(º-º)|Platform|(º-º)|Sega|(º-º)|1,19|(º-º)|0,71|(º-º)|0,22|(º-º)|0,13|(º-º)|2,24
Teenage Mutant Ninja Turtles II: The Arcade Game|(º-º)|NES|(º-º)|1990|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|1,74|(º-º)|0,25|(º-º)|0,21|(º-º)|0,03|(º-º)|2,23
Spyro: Season of Ice|(º-º)|GBA|(º-º)|2001|(º-º)|Platform|(º-º)|Vivendi Games|(º-º)|1,29|(º-º)|0,83|(º-º)|0|(º-º)|0,11|(º-º)|2,23
LEGO Indiana Jones: The Original Adventures|(º-º)|DS|(º-º)|2008|(º-º)|Action|(º-º)|Activision|(º-º)|1,42|(º-º)|0,61|(º-º)|0|(º-º)|0,21|(º-º)|2,23
Dance Dance Revolution X2|(º-º)|PS2|(º-º)|2009|(º-º)|Simulation|(º-º)|Konami Digital Entertainment|(º-º)|1,09|(º-º)|0,85|(º-º)|0|(º-º)|0,28|(º-º)|2,23
The Legend of Zelda: Link's Awakening DX|(º-º)|GB|(º-º)|1998|(º-º)|Adventure|(º-º)|Nintendo|(º-º)|1|(º-º)|0,63|(º-º)|0,45|(º-º)|0,13|(º-º)|2,22
Prince of Persia: The Sands of Time|(º-º)|PS2|(º-º)|2003|(º-º)|Action|(º-º)|Ubisoft|(º-º)|0,88|(º-º)|1,03|(º-º)|0|(º-º)|0,31|(º-º)|2,22
Scribblenauts|(º-º)|DS|(º-º)|2009|(º-º)|Puzzle|(º-º)|Warner Bros. Interactive Entertainment|(º-º)|1,71|(º-º)|0,32|(º-º)|0,02|(º-º)|0,18|(º-º)|2,22
Need for Speed: Hot Pursuit|(º-º)|X360|(º-º)|2010|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|1,03|(º-º)|0,98|(º-º)|0|(º-º)|0,21|(º-º)|2,22
New Super Luigi U|(º-º)|WiiU|(º-º)|2013|(º-º)|Platform|(º-º)|Nintendo|(º-º)|1,27|(º-º)|0,62|(º-º)|0,18|(º-º)|0,16|(º-º)|2,22
Devil May Cry 3: Dante's Awakening Special Edition|(º-º)|PS2|(º-º)|2006|(º-º)|Action|(º-º)|Capcom|(º-º)|1,06|(º-º)|0,82|(º-º)|0,05|(º-º)|0,28|(º-º)|2,21
BioShock 2|(º-º)|X360|(º-º)|2010|(º-º)|Shooter|(º-º)|Take-Two Interactive|(º-º)|1,45|(º-º)|0,55|(º-º)|0,02|(º-º)|0,19|(º-º)|2,21
Assassin's Creed IV: Black Flag|(º-º)|XOne|(º-º)|2013|(º-º)|Action|(º-º)|Ubisoft|(º-º)|1,47|(º-º)|0,55|(º-º)|0|(º-º)|0,19|(º-º)|2,21
Frogger|(º-º)|2600|(º-º)|1981|(º-º)|Action|(º-º)|Parker Bros.|(º-º)|2,06|(º-º)|0,12|(º-º)|0|(º-º)|0,02|(º-º)|2,2
Pro Yakyuu Family Stadium|(º-º)|NES|(º-º)|1986|(º-º)|Sports|(º-º)|Namco Bandai Games|(º-º)|0,15|(º-º)|0|(º-º)|2,05|(º-º)|0|(º-º)|2,2
Wario Land 3|(º-º)|GB|(º-º)|2000|(º-º)|Platform|(º-º)|Nintendo|(º-º)|1,11|(º-º)|0,51|(º-º)|0,34|(º-º)|0,23|(º-º)|2,2
Guitar Hero II|(º-º)|X360|(º-º)|2007|(º-º)|Misc|(º-º)|Activision|(º-º)|2,01|(º-º)|0,02|(º-º)|0|(º-º)|0,17|(º-º)|2,2
High School Musical: Makin' the Cut!|(º-º)|DS|(º-º)|2007|(º-º)|Puzzle|(º-º)|Disney Interactive Studios|(º-º)|1,06|(º-º)|0,91|(º-º)|0|(º-º)|0,23|(º-º)|2,2
Rock Band 2|(º-º)|X360|(º-º)|2008|(º-º)|Misc|(º-º)|Electronic Arts|(º-º)|1,78|(º-º)|0,24|(º-º)|0|(º-º)|0,18|(º-º)|2,2
Sonic Unleashed|(º-º)|Wii|(º-º)|2008|(º-º)|Platform|(º-º)|Sega|(º-º)|1,28|(º-º)|0,68|(º-º)|0,02|(º-º)|0,21|(º-º)|2,2
Kirby's Pinball Land|(º-º)|GB|(º-º)|1992|(º-º)|Misc|(º-º)|Nintendo|(º-º)|0,87|(º-º)|0,17|(º-º)|1,1|(º-º)|0,05|(º-º)|2,19
Donkey Kong Country|(º-º)|GB|(º-º)|2000|(º-º)|Platform|(º-º)|Nintendo|(º-º)|1,04|(º-º)|0,72|(º-º)|0,3|(º-º)|0,13|(º-º)|2,19
Star Wars: Knights of the Old Republic|(º-º)|XB|(º-º)|2003|(º-º)|Role-Playing|(º-º)|Activision|(º-º)|1,68|(º-º)|0,44|(º-º)|0|(º-º)|0,08|(º-º)|2,19
Saints Row|(º-º)|X360|(º-º)|2006|(º-º)|Action|(º-º)|THQ|(º-º)|1,17|(º-º)|0,78|(º-º)|0,02|(º-º)|0,22|(º-º)|2,19
Pro Evolution Soccer 2012|(º-º)|PS3|(º-º)|2011|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|0,34|(º-º)|0,97|(º-º)|0,55|(º-º)|0,33|(º-º)|2,19
Hitman: Absolution|(º-º)|PS3|(º-º)|2012|(º-º)|Action|(º-º)|Square Enix|(º-º)|0,59|(º-º)|1,07|(º-º)|0,07|(º-º)|0,45|(º-º)|2,19
Yu-Gi-Oh: Duel Monsters 4|(º-º)|GB|(º-º)|2000|(º-º)|Role-Playing|(º-º)|Konami Digital Entertainment|(º-º)|0|(º-º)|0|(º-º)|2,17|(º-º)|0,01|(º-º)|2,18
ATV Offroad Fury 2|(º-º)|PS2|(º-º)|2002|(º-º)|Racing|(º-º)|THQ|(º-º)|1,92|(º-º)|0,2|(º-º)|0|(º-º)|0,06|(º-º)|2,18
Pokemon Ranger|(º-º)|DS|(º-º)|2006|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|1,29|(º-º)|0,04|(º-º)|0,73|(º-º)|0,12|(º-º)|2,18
Forza Motorsport 5|(º-º)|XOne|(º-º)|2013|(º-º)|Racing|(º-º)|Microsoft Game Studios|(º-º)|1,21|(º-º)|0,78|(º-º)|0,01|(º-º)|0,17|(º-º)|2,18
Madden NFL 25|(º-º)|X360|(º-º)|2013|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|1,97|(º-º)|0,07|(º-º)|0|(º-º)|0,13|(º-º)|2,18
Tennis|(º-º)|NES|(º-º)|1984|(º-º)|Sports|(º-º)|Nintendo|(º-º)|0,48|(º-º)|0,11|(º-º)|1,56|(º-º)|0,02|(º-º)|2,17
Star Wars: Rogue Squadron|(º-º)|N64|(º-º)|1998|(º-º)|Simulation|(º-º)|Nintendo|(º-º)|1,6|(º-º)|0,46|(º-º)|0,08|(º-º)|0,03|(º-º)|2,17
Mario & Luigi: Superstar Saga|(º-º)|GBA|(º-º)|2003|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|1,48|(º-º)|0,17|(º-º)|0,47|(º-º)|0,06|(º-º)|2,17
Final Fantasy XIII|(º-º)|X360|(º-º)|2010|(º-º)|Role-Playing|(º-º)|Square Enix|(º-º)|1,27|(º-º)|0,68|(º-º)|0,01|(º-º)|0,2|(º-º)|2,17
The Sims: House Party|(º-º)|PC|(º-º)|2001|(º-º)|Simulation|(º-º)|Electronic Arts|(º-º)|1,23|(º-º)|0,83|(º-º)|0|(º-º)|0,1|(º-º)|2,16
Your Shape featuring Jenny McCarthy|(º-º)|Wii|(º-º)|2009|(º-º)|Sports|(º-º)|Ubisoft|(º-º)|1,51|(º-º)|0,47|(º-º)|0|(º-º)|0,18|(º-º)|2,16
Volleyball|(º-º)|NES|(º-º)|1987|(º-º)|Sports|(º-º)|Nintendo|(º-º)|0,14|(º-º)|0,03|(º-º)|1,98|(º-º)|0|(º-º)|2,15
Syphon Filter 2|(º-º)|PS|(º-º)|2000|(º-º)|Shooter|(º-º)|Sony Computer Entertainment|(º-º)|1,5|(º-º)|0,55|(º-º)|0,02|(º-º)|0,08|(º-º)|2,15
FIFA 15|(º-º)|XOne|(º-º)|2014|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,6|(º-º)|1,41|(º-º)|0|(º-º)|0,14|(º-º)|2,15
Tom Clancy's Rainbow Six: Siege|(º-º)|PS4|(º-º)|2015|(º-º)|Shooter|(º-º)|Ubisoft|(º-º)|0,54|(º-º)|1,16|(º-º)|0,13|(º-º)|0,32|(º-º)|2,15
Mahjong|(º-º)|NES|(º-º)|1983|(º-º)|Misc|(º-º)|Nintendo|(º-º)|0,01|(º-º)|0|(º-º)|2,13|(º-º)|0|(º-º)|2,14
R.C. Pro-Am|(º-º)|NES|(º-º)|1988|(º-º)|Racing|(º-º)|Nintendo|(º-º)|1,47|(º-º)|0,38|(º-º)|0,19|(º-º)|0,1|(º-º)|2,14
SimCity 2000|(º-º)|PC|(º-º)|1992|(º-º)|Simulation|(º-º)|Maxis|(º-º)|1,2|(º-º)|0,84|(º-º)|0|(º-º)|0,1|(º-º)|2,14
Super Mario RPG: Legend of the Seven Stars|(º-º)|SNES|(º-º)|1996|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|0,66|(º-º)|0|(º-º)|1,45|(º-º)|0,03|(º-º)|2,14
Call of Duty: Roads to Victory|(º-º)|PSP|(º-º)|2007|(º-º)|Shooter|(º-º)|Activision|(º-º)|0,52|(º-º)|1,03|(º-º)|0|(º-º)|0,59|(º-º)|2,14
Demon Attack|(º-º)|2600|(º-º)|1981|(º-º)|Shooter|(º-º)|Imagic|(º-º)|1,99|(º-º)|0,12|(º-º)|0|(º-º)|0,02|(º-º)|2,13
